manufacturer_processed,t_cap,t_hh,t_rd,t_rsa,rotor_weight,turbine_blade_weight
other,100.0,37.0,21.0,346.36,3.7098618,0.61831033
other,100.0,,21.0,346.36,3.7098618,0.61831033
vergnet,275.0,32.0,29.0,660.52,2.9267402,0.48779005
vergnet,275.0,32.0,29.0,660.52,2.9267402,0.48779005
vergnet,275.0,32.0,29.0,660.52,2.9267402,0.48779005
fuhrlander,250.0,40.0,29.0,660.52,4.110143,0.6850239
vergnet,275.0,32.0,29.0,660.52,2.9267402,0.48779005
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
vestas,660.0,65.0,47.0,1734.94,11.113601,1.8522668
other,850.0,55.0,58.0,2642.08,15.699421,2.6165702
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
vestas,1650.0,67.0,66.0,3421.19,25.197912,4.199652
ge wind,1500.0,65.0,70.5,3903.63,26.31323,4.3855386
ge wind,1500.0,65.0,70.5,3903.63,26.31323,4.3855386
ge wind,1500.0,65.0,70.5,3903.63,26.31323,4.3855386
ge wind,1500.0,65.0,70.5,3903.63,26.31323,4.3855386
ge wind,1500.0,65.0,70.5,3903.63,26.31323,4.3855386
ge wind,1500.0,65.0,70.5,3903.63,26.31323,4.3855386
