Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Albany (City) SWMF,525 Rapp Road,,Albany,NY,12205,Albany,4,5188693651,City of Albany,Municipal,Landfill - MSW - permit,[01S02],Yes,594201,4728891,1.1 - Obtained from original submission and unverified process,Asbestos (Friable);Non-petroleum Contaminated Soil;Ash (WWTP Sludge);Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),4-0101-00171/00011,06/25/2009,06/25/2019,"525 Rapp Road
Albany, NY 12205
(42.702565, -73.851095)"
Lafarge North America Inc,1916 State Route 9W,,Coeymans,NY,12143,Albany,4,5187565028,Lafarge North America,Private,Landfill - industrial waste monofill - permit,[01N20],Yes,597471,4706624,,Dust (Cement Kiln);Cement Contaminated with Coal,4-0124-00001/00053,04/24/2006,08/21/2007,
Colonie (T) SWMF,4 Arrowhead Lane,,Colonie,NY,12047,Albany,4,5187832827,Town of Colonie,Municipal,Landfill - MSW - permit,[01LS2601],Yes,603789,4740487,,Yard Waste;Construction & Demolition Debris;Petroleum Contaminated Soil;Industrial;Animal Carcasses;MSW (Residential/Institutional & Commercial),4-0126-00033/00001,04/05/2018,04/04/2028,"4 Arrowhead Lane
Colonie, NY 12047
(42.801704, -73.730765)"
Gil Housel,120 Vine Lane,,Guilderland,NY,12303,Albany,4,5183567827,Gil Housel,Private,Landfill - land clearing debris,[01D01],Yes,586156,4732794,4.2 - Utilization of GIS and existing spatial data,,01D01,07/16/2010,,"120 Vine Lane
Guilderland, NY 12303
(42.742889, -73.947199)"
Hyland Landfill,6653 Herdman Road,Hyland Facility Associates,Angelica,NY,14709,Allegany,9,5854667271,Hyland Facility Associates,Private,Landfill - MSW - permit,[02S17],Yes,251801,4686020,4.2 - Utilization of GIS and existing spatial data,Asbestos (Friable);Construction & Demolition Debris;Non-petroleum Contaminated Soil;Sludge (Industrial);Biosolids;MSW (Residential/Institutional & Commercial);Petroleum Contaminated Soil,9-0232-00003/00002,12/01/2015,05/01/2025,
L.C. Whitford Co. C&D Landfill,Phillips Road,,Wellsville,NY,14880,Allegany,9,5858086725,The L.C. Whitford Co.; Inc.,Private,Landfill - C&DD - permit,[02D06],Yes,254099,4668581,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,9-0266-00011/00004,10/31/2017,10/30/2027,
Voorhees Hill Road C&D Landfill,Voorhees Hill Road @ Lewis Road,,Wellsville,NY,14895,Allegany,9,5855936177,Southern Tier Kleenfill; Inc.,Private,Landfill - C&DD - permit,[02D05],Yes,262052,4666368,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,9-0270-00035/00003,08/11/2010,09/01/2020,"Voorhees Hill Road @ Lewis Road
Wellsville, NY 14895
(42.112931, -77.875235)"
Broome County Landfill,286 Knapp Road,,Binghamton,NY,13905,Broome,7,6077634275,Broome County DSWM,County,Landfill - MSW - permit,[04LS0011],Yes,419649,4676879,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Petroleum Contaminated Soil,7-0399-00027/00002,03/23/2022,03/22/2032,"286 Knapp Road
Binghamton, NY 13905
(42.243511, -75.985169)"
Joker's Wild Ranch; LLC Shavings Mill,709 Pleasant Hill Road,,Port Crane,NY,13833,Broome,7,6073490770,Thomas Illsley,,Landfill - land clearing debris,[04D03],Yes,435926,4669569,,Wood (Brush/ Branches/ Trees/ Stumps),04D03,12/16/2015,,"709 Pleasant Hill Road
Port Crane, NY 13833
(42.174881, -75.7792)"
Farwell Landfill,1430 Farwell Road,,Ischua,NY,14743,Cattaraugus,9,7165578324,Cattaraugus County DPW,County,Landfill - land clearing debris,[05D38],Yes,220881,4679865,4.2 - Utilization of GIS and existing spatial data,Land Clearing Debris,05D38,,,"1430 Farwell Road
Ischua, NY 14743
(42.219462, -78.386938)"
Chautauqua Landfill,3889 Towerville Road,,Ellery,NY,14701-9653,Chautauqua,9,7169854785,Chautauqua County,County,Landfill - MSW - permit,[07S12],Yes,143329,4681819,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Bottom);Ash (Coal-Fly);Asbestos (Non-Friable);Construction & Demolition Debris;Sludge (Industrial);Waste Tires;Asbestos (Friable);Biosolids;MSW (Residential/Institutional & Commercial),9-0636-00006/00013,10/07/2015,10/06/2025,"3889 Towerville Road
Ellery, NY 14701-9653
(42.201451, -79.315205)"
Carroll C&D Management Facility,309 Dodge Road,,Frewsburg,NY,14738,Chautauqua,9,7165695074,Carol Jones,Private,Landfill - C&DD - permit,[07LC0056],Yes,161498,4659345,,,,,,"309 Dodge Road
Frewsburg, NY 14738
(42.015661, -79.087312)"
Dunkirk Fly Ash Landfill,5141 Van Buren Road,,Pomfret,NY,14063,Chautauqua,9,7166736343,Dunkirk Power LLC,Private,Landfill - industrial waste monofill - permit,[07N21],Yes,138726,4708547,4.2 - Utilization of GIS and existing spatial data,Ash (Coal-Bottom);Ash (Coal-Fly),,,,
Chemung County Area 3 C&D Landfill,1488 County Road 60,,Chemung,NY,14825,Chemung,8,8002273552,Chemung County,County,Landfill - C&DD - permit,[08D04],Yes,360817,4654738,3.6 - Unknown type,Construction & Demolition Debris,8-0728-00004/00007,09/26/2005,09/25/2015,
Chemung County Sanitary Landfill,1488 County Route 60,,Chemung,NY,14825,Chemung,8,8002273552,Chemung County,County,Landfill - MSW - permit,[08S02],Yes,360822,4654736,,Non-Radioactive;Construction & Demolition Debris;Petroleum Contaminated Soil;Industrial;MSW (Residential/Institutional & Commercial),8-0728-00004/00013,06/02/2016,06/01/2026,"1488 County Route 60
Chemung, NY 14825
(42.070524, -77.73724)"
