ID,Name,Manufucturer,Offshore,Rated power,Rotor diameter,Swept area,Specific area,Number of blades,Minimum hub height,Maximum hub height,Nacelle weight,Tower weight,Rotor weight,Total weight,Available since,Status,Link,Update
#ND = no data,,,,kW,m,m2,m2/kW,,m,m,Tons,Tons,Tons,Tons,Format : yyyy or yyyy/mm,,,
179,AW-1500/70,Acciona,No,1500,70,3848.5,2.57,3,60,80,52.5,135,15,203,2006,Not available,Link,18-Jan-21
180,AW-1500/77,Acciona,No,1500,77,4656.6,3.10,3,60,80,52.5,135,15,203,2006,Not available,Link,18-Jan-21
181,AW-1500/82,Acciona,No,1500,82,5281.0,3.52,3,80,80,52.5,135,15,203,2009,Not available,Link,18-Jan-21
538,AW-3000/100,Acciona,No,3000,100,7854.0,2.62,3,100,120,150,1100,66,1316,2009,Not available,Link,18-Jan-21
559,AW-3000/109,Acciona,No,3000,109,9331.3,3.11,3,95.5,120,#ND,1100,66,#ND,2012,Not available,Link,18-Jan-21
398,A27/225,ACSA,No,225,27,572.6,2.54,3,31.5,50,7.9,12,3,23,#ND,Not available,Link,06-Apr-18
1123,ADES 100,ADES,No,100,29,660.5,6.61,1,27.5,27.5,4.8,10,3,18,#ND,Available,Link,15-Jan-22
1124,ADES 200,ADES,No,200,36,1017.9,5.09,1,31,40,5.5,11,4,20,#ND,Available,Link,15-Jan-22
1125,ADES 335,ADES,No,335,36,1017.9,3.04,1,36,36,9,17,4,30,#ND,Available,Link,15-Jan-22
752,29-225,Aeronautica Windpower,No,225,29,660.5,2.94,3,30,50,6.9,12,5,24,#ND,Not available,Link,05-Mar-22
919,33-225,Aeronautica Windpower,No,225,33,855.3,3.80,3,30,50,6.9,12,5,24,#ND,Not available,Link,05-Mar-22
604,47-500,Aeronautica Windpower,No,500,47,1734.9,3.47,3,50,65,22,#ND,15,#ND,#ND,Available,Link,05-Mar-22
753,47-750,Aeronautica Windpower,No,750,47,1734.9,2.31,3,50,65,22,37,15,74,#ND,Available,Link,05-Mar-22
754,54-750,Aeronautica Windpower,No,750,54,2290.2,3.05,3,50,65,22,37,15,74,#ND,Available,Link,05-Mar-22
934,aM 1.5/77,Aerovide,No,1500,77.1,4668.7,3.11,3,70,80,61.5,#ND,32,#ND,#ND,Available,Link,12-May-22
935,aM 1.5/83,Aerovide,No,1500,82.7,5371.6,3.58,3,70,80,61.5,#ND,32,#ND,#ND,Available,Link,12-May-22
936,aM 1.5/87,Aerovide,No,1500,86.7,5903.8,3.94,3,80,80,61.5,#ND,33,#ND,#ND,Available,Link,12-May-22
937,aM 1.5/92,Aerovide,No,1500,92.1,6662.1,4.44,3,80,90,61.5,#ND,35,#ND,#ND,Available,Link,12-May-22
1396,aM 2.0/120,Aerovide,No,2000,120,11309.7,5.65,3,90,90,93.2,#ND,53,#ND,2016,Available,Link,12-May-22
1655,aM 2.3/120,Aerovide,No,2300,120,11309.7,4.92,3,#ND,#ND,89.5,#ND,54,#ND,2018,Available,Link,12-May-22
939,aM 2.5/103,Aerovide,No,2500,102.9,8316.1,3.33,3,80,90,93.2,#ND,56,#ND,#ND,Available,Link,12-May-22
940,aM 2.5/110,Aerovide,No,2500,109.7,9451.6,3.78,3,80,80,93.2,#ND,56,#ND,#ND,Available,Link,12-May-22
941,aM 2.5/118,Aerovide,No,2500,118.3,10991.6,4.40,3,90,120,93.2,#ND,53,#ND,#ND,Available,Link,12-May-22
938,aM 2.5/96,Aerovide,No,2500,96.1,7253.3,2.90,3,70,80,93.2,#ND,56,#ND,#ND,Not available,Link,12-May-22
1395,aM 3.0/103,Aerovide,No,3000,102.9,8316.1,2.77,3,80,80,93.2,#ND,56,#ND,2016,Not available,Link,12-May-22
991,aM 3.0/134,Aerovide,No,3000,133.6,14018.5,4.67,3,#ND,#ND,125,#ND,75,#ND,#ND,Not available,Link,12-May-22
842,aM 3.0/140,Aerovide,No,3000,140,15393.8,5.13,3,#ND,#ND,125,#ND,74,#ND,#ND,Not available,Link,12-May-22
1565,aM 3.0/145,Aerovide,No,3000,145,16513.0,5.50,3,100,100,130,#ND,103,#ND,2017,Available,Link,12-May-22
1656,aM 3.2/140,Aerovide,No,3200,140,15393.8,4.81,3,#ND,#ND,133,#ND,105,#ND,2018,Available,Link,12-May-22
1564,aM 3.4/130,Aerovide,No,3400,130,13273.2,3.90,3,90,90,130,#ND,85,#ND,2017,Not available,Link,12-May-22
1563,aM 3.6/124,Aerovide,No,3600,124,12076.3,3.35,3,90,90,130,#ND,83,#ND,2017,Not available,Link,12-May-22
1567,aM 4.0/140,Aerovide,No,4000,140.4,15481.9,3.87,3,95,95,170,#ND,112,#ND,2017,Available,Link,12-May-22
1568,aM 4.0/147,Aerovide,No,4000,147,16971.7,4.24,3,100,100,170,#ND,125,#ND,2017,Not available,Link,12-May-22
1569,aM 4.0/150,Aerovide,No,4000,150,17671.5,4.42,3,100,100,170,#ND,127,#ND,2017,Not available,Link,12-May-22
1657,aM 4.2/147,Aerovide,No,4200,147,16971.7,4.04,3,#ND,#ND,167,#ND,127,#ND,2018,Available,Link,12-May-22
1566,aM 4.5/126,Aerovide,No,4500,126.4,12548.3,2.79,3,90,90,170,#ND,109,#ND,2017,Available,Link,12-May-22
1055,aM 4.5/153,Aerovide,No,4500,153,18385.4,4.09,3,#ND,#ND,167,#ND,130,#ND,2019,Available,Link,12-May-22
942,aM 5.0/130,Aerovide,Yes,5000,130,13273.2,2.65,3,100,100,310,#ND,119,#ND,#ND,Not available,Link,12-May-22
943,aM 5.0/139,Aerovide,Yes,5000,139,15174.7,3.03,3,100,100,310,#ND,135,#ND,#ND,Not available,Link,12-May-22
1570,aM 5.5/139,Aerovide,Yes,5500,139,15174.7,2.76,3,100,100,310,#ND,135,#ND,2017,Not available,Link,12-May-22
1660,aM 5.7/163,Aerovide,Yes,5700,163,20867.2,3.66,3,#ND,#ND,290,#ND,145,#ND,#ND,Under development,Link,12-May-22
1658,aM 6.0/139,Aerovide,Yes,6000,139,15174.7,2.53,3,#ND,#ND,290,#ND,135,#ND,#ND,Available,Link,12-May-22
