,DIVISION,ID,Longitude,Latitude,text
0,Albany,C172.1,-74.211062,42.946016,Albany C172.1
1,Syracuse,H1118.1,-76.924232,42.958034,Syracuse H1118.1
2,Albany,C67.1,-73.701738,42.802867,Albany C67.1
3,Buffalo,B556.2,-78.940905,43.000894,Buffalo B556.2
4,Syracuse,H911.2,-76.23337499999998,43.118117,Syracuse H911.2
5,New York,A3.1,-73.852874,40.983997,New York A3.1
6,Syracuse,H2171.1,-77.17773599999998,42.973787,Syracuse H2171.1
7,New York,B905.1,-73.89333499999998,41.070116,New York B905.1
8,Albany,C224.1,-74.288374,42.944818,Albany C224.1
9,New York,A842.1,-74.186172,41.147114,New York A842.1
10,Albany,H867.1,-74.07340499999998,42.883759,Albany H867.1
11,Buffalo,H508.3,-78.109239,43.014772,Buffalo H508.3
12,Albany,H816.1,-73.87494499999998,42.269056,Albany H816.1
13,Buffalo,B607.2,-78.990741,43.06834,Buffalo B607.2
14,Albany,A825.1,-74.007211,42.840003,Albany A825.1
15,Albany,B957.1,-73.90544099999998,42.231472,Albany B957.1
16,Buffalo,H1010.1,-78.36663199999998,43.010282,Buffalo H1010.1
17,Albany,C256.1,-74.210104,42.946629,Albany C256.1
18,New York,B384.1,-74.184342,41.162742,New York B384.1
19,Albany,H2124.1,-74.46716999999998,42.896873,Albany H2124.1
20,Syracuse,B658.1,-76.043924,43.094743,Syracuse B658.1
21,New York,H37.1,-74.158945,41.259045,New York H37.1
22,New York,B49.1,-74.089921,41.111252,New York B49.1
23,Buffalo,C129.1,-77.501288,43.079616,Buffalo C129.1
24,Albany,C252.1,-74.04124,42.878676,Albany C252.1
25,Syracuse,H541.3,-75.98666199999998,43.093995,Syracuse H541.3
26,Buffalo,B510.1,-78.791267,42.81833,Buffalo B510.1
27,New York,B946.1,-73.89333499999998,41.070116,New York B946.1
28,Albany,B148.1,-73.530896,42.408647,Albany B148.1
29,Syracuse,H908.1,-75.672263,43.108283,Syracuse H908.1
30,Buffalo,H1015.2,-78.981503,43.032185,Buffalo H1015.2
31,Syracuse,A819.1,-75.414901,43.12503,Syracuse A819.1
32,Syracuse,H888.1,-75.815533,43.093983,Syracuse H888.1
33,Buffalo,B441.1,-78.006967,43.029831,Buffalo B441.1
34,Buffalo,H409.1,-77.44007399999998,43.009298,Buffalo H409.1
35,Albany,B88.1,-74.02003,41.952919,Albany B88.1
36,Syracuse,B930.1,-74.909058,43.008938,Syracuse B930.1
37,New York,H312.1,-74.100932,41.113745,New York H312.1
38,Albany,C237.1,-74.57770999999998,42.909404,Albany C237.1
39,Buffalo,B326.1,-78.93162499999998,42.995521,Buffalo B326.1
40,Buffalo,B945.1,-78.936255,42.998217,Buffalo B945.1
41,New York,H862.1,-74.189103,41.151907,New York H862.1
