Data Through Date,Eligibility,Project Name,Solicitation Name,Fixed REC Price,Index REC Strike Price,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWAC),Installed Energy Storage Energy Capacity (MWhAC),NYISO Zone,Interconnection Queue Number,PTID,Permit Process,Article 10 or 94C Case Number,Second Article 10 or 94C Case Number,Article 7,Federal Permitting Mechanism,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,Transmission Capacity (HVDC),Georeference
10/20/2022,Tier 1,Greene County Energy Properties,RESRFP17-1,,91.09,Solar,New,,"Greene County Energy Properties, LLC",Green County Energy Partners,,,Hudson Valley,577,,SEQR,,,,,12042,Greene,NY,Capital Region,Under Development,2023,20,19.9,19.9,26149,31378,,,POINT (-73.8587 42.37065)
10/20/2022,Tier 1,Bear Ridge Solar,RESRFP21-1,,,Solar,New,,"Bear Ridge Solar, LLC","Cypress Creek Renewables, LLC",,,West,704,,ORES,,,,,14094,Niagara,NY,Western New York,Under Development,2025,20,100,100,181332,217598,,,POINT (-78.69511 43.16926)
10/20/2022,Tier 1,Blue Stone Solar,RESRFP17-1,25.00,,Solar,New,,"Blue Stone Solar, LLC","National Grid Renewables, LLC",,,Hudson Valley,621,,SEQR,,,,,12477,Ulster,NY,Mid-Hudson,Cancelled,2021,20,19.99,19.99,27493,32991,,,POINT (-73.95246 42.07778)
10/20/2022,Tier 1,Harvest Hills Solar 2,RESRFP21-1,,,Solar,New,,,ConnectGen Cayuga County LLC,,,Central,"1,088",,ORES,,,,,13071,Cayuga,NY,Central New York,Under Development,2026,20,100,100,202356,242827,,,POINT (-76.53868 42.66918)
10/20/2022,Tier 1,Harvest Hills Solar (Formerly Milliken Solar),RESRFP20-1,,47.7,Solar,New,,ConnectGen Cayuga County LLC,ConnectGen,,,Central,"1,088",,ORES,,,,,13071,Cayuga,NY,Central New York,Under Development,2025,20,200,200,394200,473040,,,POINT (-76.53868 42.66918)
10/20/2022,Tier 1,Horseshoe Solar,RESRFP18-1,19.70,,Solar,New,,Horseshoe Solar Energy LLC,Invenergy,,,Genesee,710,,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02480&CaseSearch=Search,,,,14423,Livingston,NY,Finger Lakes,Under Development,2024,20,180,180,368971,442765,,,POINT (-77.8533 42.97389)
10/20/2022,Tier 1,Little Pond Solar,RESRFP17-1,19.95,,Solar,New,,"Little Pond Solar, LLC",Greenbacker Renewable Energy Corporation,,,Hudson Valley,575,,SEQR,,,,,12780,Orange,NY,Mid-Hudson,Under Development,2023,20,19.99,19.99,37649,45178,,,POINT (-74.72882 41.40325)
10/20/2022,Tier 1,Mill Point Solar,RESRFP20-1,,44.55,Solar,New,,ConnectGen Montgomery County LLC,ConnectGen,,,Mohawk Valley,"1,031",,ORES,,,,,12072,Montgomery,NY,Mohawk Valley,Under Development,2025,20,250,250,497130,596556,,,POINT (-74.37026 42.94801)
10/20/2022,Tier 1,Mill Point Solar 2,RESRFP21-1,,,Solar,New,,,ConnectGen Montgomery County LLC,,,Mohawk Valley,"1,031",,ORES,,,,,12072,Montgomery,NY,Mohawk Valley,Under Development,2026,20,100,100,197100,236520,,,POINT (-74.37026 42.94801)
10/20/2022,Tier 1,Rising Solar,RESRFP17-1,22.50,,Solar,New,,Rising Solar LLC,"National Grid Renewables, LLC",,,Hudson Valley,,,SEQR,,,,,10990,Orange,NY,Mid-Hudson,Cancelled,2020,20,20,20,32184,38619,,,POINT (-74.35825 41.25848)
10/20/2022,Tier 1,Rock District Solar,RESRFP17-1,,76.2,Solar,New,,"Rock District Solar, LLC",Greenbacker Renewable Energy Corporation,,,Capital,564,,SEQR,,,,,12043,Schoharie,NY,Mohawk Valley,Under Development,2023,20,19.99,19.99,33884,40660,,,POINT (-74.48317 42.6782)
10/20/2022,Tier 1,Silver Lake Solar Project,RESRFP18-1,21.00,,Solar,New,,Silver Lake Solar LLC,AES Corporation,,,West,629,,SEQR,,,,,14530,Wyoming,NY,Finger Lakes,Under Development,2024,20,24.99,24.99,38200,45840,,,POINT (-78.0055 42.71961)
10/20/2022,Tier 1,South Ripley Solar and Storage,RESRFP19-1,17.60,,Solar,New,,ConnectGen Chautauqua County LLC,ConnectGen,20,80,West,783,,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00750&CaseSearch=Search,,,,14775,Chautauqua,NY,Western New York,Under Development,2025,20,270,270,404449,485338,,,POINT (-79.71066 42.2668)
10/20/2022,Tier 1,SunEast Augustus Solar,RESRFP20-1,,59.8,Solar,New,,SunEast Augustus Solar LLC,SunEast Development LLC,,,Mohawk Valley,935,,SEQR,,,,,13425,Oneida,NY,Mohawk Valley,Under Development,2025,20,19.99,19.99,39225,47070,,,POINT (-75.46093 42.93909)
10/20/2022,Tier 1,SunEast Clay Solar,RESRFP18-1,18.45,,Solar,New,,SunEast Clay Solar LLC,SunEast Development LLC,,,Central,669,,SEQR,,,,,13042,Oswego,NY,Central New York,Cancelled,2023,20,19.99,19.99,35022,42026,,,POINT (-75.8799 43.23297)
10/20/2022,Tier 1,SunEast Dog Corners Solar,RESRFP18-1,,67.13,Solar,New,,SunEast Dog Corners Solar LLC,SunEast Development LLC,,,Central,584,,SEQR,,,,,13026,Cayuga,NY,Central New York,Under Development,2024,20,19.99,19.99,37999,45598,,,POINT (-76.70294 42.75771)
10/20/2022,Tier 1,SunEast Fairway Solar,RESRFP19-1,11.90,,Solar,New,,SunEast Fairway Solar LLC,SunEast Development LLC,,,Mohawk Valley,848,,SEQR,,,,,13669,St Lawrence,NY,North Country,Under Development,2024,20,19.99,19.99,36248,43497,,,POINT (-75.48994 44.69424)
10/20/2022,Tier 1,SunEast Flat Creek II Solar,RESRFP21-1,,,Solar,New,,SunEast Flat Creek Solar LLC,SunEast Development LLC,,,Capital,"1,115",,ORES,,,,,12166,Montgomery,NY,Mohawk Valley,Under Development,2024,20,100,100,193596,232315,,,POINT (-74.51427 42.89135)
10/20/2022,Tier 1,SunEast Flat Creek Solar,RESRFP20-1,,55.95,Solar,New,,SunEast Flat Creek Solar LLC,SunEast Development LLC,,,Capital,"1,089",,ORES,,,,,12166,Montgomery,NY,Mohawk Valley,Under Development,2026,20,200,200,415224,498269,,,POINT (-74.51427 42.89135)
10/20/2022,Tier 1,SunEast Flat Hill Solar,RESRFP19-1,12.95,,Solar,New,,SunEast Flat Hill Solar LLC,SunEast Development LLC,,,Mohawk Valley,885,,SEQR,,,,,13365,Herkimer,NY,Mohawk Valley,Under Development,2024,20,19.99,19.99,36423,43707,,,POINT (-74.85884 43.04079)
10/20/2022,Tier 1,SunEast Flat Stone Solar,RESRFP20-1,,62.5,Solar,New,,SunEast Flat Stone Solar LLC,SunEast Development LLC,,,Mohawk Valley,"1,000",,SEQR,,,,,13478,Oneida,NY,Mohawk Valley,Under Development,2025,20,19.99,19.99,38175,45810,,,POINT (-75.57247 43.14021)
